id,sensor_type,value,timestamp
6845,total dissolved solids,692.85,2024-12-22 20:16:11
6846,temperature,73.62,2024-12-22 20:16:13
6847,turbidity,2902.9,2024-12-22 20:16:13
6848,total dissolved solids,693.48,2024-12-22 20:16:13
6849,turbidity,2902.67,2024-12-22 20:16:15
6850,total dissolved solids,693.42,2024-12-22 20:16:15
6851,temperature,73.74,2024-12-22 20:16:16
6852,turbidity,2899.26,2024-12-22 20:16:17
6853,total dissolved solids,692.61,2024-12-22 20:16:17
6854,temperature,73.74,2024-12-22 20:16:19
6855,turbidity,1.37,2024-12-22 20:16:19
6856,total dissolved solids,0.33,2024-12-22 20:16:19
6857,turbidity,2902.67,2024-12-22 20:16:21
6858,total dissolved solids,693.42,2024-12-22 20:16:21
6859,temperature,73.74,2024-12-22 20:16:21
6860,turbidity,1.37,2024-12-22 20:16:23
6861,total dissolved solids,0.33,2024-12-22 20:16:23
6862,temperature,73.74,2024-12-22 20:16:24
6863,turbidity,2899.49,2024-12-22 20:16:25
6864,total dissolved solids,692.66,2024-12-22 20:16:25
6865,temperature,73.85,2024-12-22 20:16:27
6866,turbidity,2901.31,2024-12-22 20:16:28
6867,total dissolved solids,693.1,2024-12-22 20:16:28
6868,turbidity,2902.33,2024-12-22 20:16:30
6869,total dissolved solids,0.33,2024-12-22 20:16:30
6870,temperature,73.85,2024-12-22 20:16:30
6871,turbidity,2899.26,2024-12-22 20:16:32
6872,total dissolved solids,0.33,2024-12-22 20:16:32
6873,temperature,73.96,2024-12-22 20:16:33
6874,turbidity,2900.74,2024-12-22 20:16:34
6875,total dissolved solids,0.33,2024-12-22 20:16:34
6876,temperature,73.96,2024-12-22 20:16:36
6877,turbidity,1.37,2024-12-22 20:16:37
6878,total dissolved solids,0.33,2024-12-22 20:16:37
6879,turbidity,2902.1,2024-12-22 20:16:39
6880,total dissolved solids,693.29,2024-12-22 20:16:39
6881,temperature,73.96,2024-12-22 20:16:39
6882,turbidity,2898.35,2024-12-22 20:16:41
6883,total dissolved solids,692.39,2024-12-22 20:16:41
6884,temperature,74.08,2024-12-22 20:16:42
6885,total dissolved solids,693.32,2024-12-22 20:16:43
6886,turbidity,2902.22,2024-12-22 20:16:43
6887,temperature,74.08,2024-12-22 20:16:45
6888,turbidity,2900.62,2024-12-22 20:16:46
6889,total dissolved solids,692.93,2024-12-22 20:16:46
6890,temperature,74.08,2024-12-22 20:16:48
6891,turbidity,2901.42,2024-12-22 20:16:48
6892,total dissolved solids,0.33,2024-12-22 20:16:48
6893,total dissolved solids,692.88,2024-12-22 20:16:50
6894,turbidity,2900.4,2024-12-22 20:16:50
6895,temperature,74.19,2024-12-22 20:16:51
6896,turbidity,2898.46,2024-12-22 20:16:52
6897,total dissolved solids,692.42,2024-12-22 20:16:52
6898,temperature,74.19,2024-12-22 20:16:54
6899,turbidity,2902.67,2024-12-22 20:16:55
6900,total dissolved solids,693.42,2024-12-22 20:16:55
6901,total dissolved solids,0.33,2024-12-22 20:16:57
6902,turbidity,1.37,2024-12-22 20:16:57
6903,temperature,74.3,2024-12-22 20:16:57
6904,turbidity,1.25,2024-12-22 20:16:59
6905,total dissolved solids,0.3,2024-12-22 20:16:59
6906,temperature,74.3,2024-12-22 20:17:00
6907,turbidity,2902.45,2024-12-22 20:17:01
6908,total dissolved solids,693.37,2024-12-22 20:17:01
6909,temperature,74.3,2024-12-22 20:17:03
6910,total dissolved solids,694.59,2024-12-22 20:17:03
6911,turbidity,2907.56,2024-12-22 20:17:03
6912,turbidity,2902.22,2024-12-22 20:17:05
6913,total dissolved solids,693.32,2024-12-22 20:17:05
6914,temperature,74.41,2024-12-22 20:17:06
6915,turbidity,2902.79,2024-12-22 20:17:07
6916,total dissolved solids,693.45,2024-12-22 20:17:07
6917,temperature,74.41,2024-12-22 20:17:09
6918,turbidity,2899.49,2024-12-22 20:17:09
6919,total dissolved solids,692.66,2024-12-22 20:17:09
6920,total dissolved solids,693.48,2024-12-22 20:17:11
6921,turbidity,2902.9,2024-12-22 20:17:11
6922,temperature,74.53,2024-12-22 20:17:12
6923,total dissolved solids,0.33,2024-12-22 20:17:14
6924,turbidity,2900.28,2024-12-22 20:17:14
6925,temperature,74.53,2024-12-22 20:17:15
6926,total dissolved solids,0.33,2024-12-22 20:17:16
6927,turbidity,2900.85,2024-12-22 20:17:16
6928,temperature,74.64,2024-12-22 20:17:18
6929,total dissolved solids,0.33,2024-12-22 20:17:18
6930,turbidity,2901.53,2024-12-22 20:17:19
6931,total dissolved solids,0.33,2024-12-22 20:17:21
6932,temperature,74.64,2024-12-22 20:17:21
6933,turbidity,2900.28,2024-12-22 20:17:21
6934,total dissolved solids,0.33,2024-12-22 20:17:23
6935,turbidity,2899.94,2024-12-22 20:17:23
6936,temperature,74.64,2024-12-22 20:17:24
6937,total dissolved solids,0.33,2024-12-22 20:17:25
6938,turbidity,2901.76,2024-12-22 20:17:25
6939,temperature,74.64,2024-12-22 20:17:27
6940,total dissolved solids,0.33,2024-12-22 20:17:27
6941,turbidity,2898.12,2024-12-22 20:17:28
6942,total dissolved solids,0.33,2024-12-22 20:17:29
6943,temperature,74.75,2024-12-22 20:17:30
6944,turbidity,2897.1,2024-12-22 20:17:30
6945,total dissolved solids,0.33,2024-12-22 20:17:31
6946,turbidity,2898.69,2024-12-22 20:17:32
6947,temperature,74.75,2024-12-22 20:17:32
6948,total dissolved solids,0.33,2024-12-22 20:17:33
6949,turbidity,2898.46,2024-12-22 20:17:34
6950,temperature,74.75,2024-12-22 20:17:35
6951,total dissolved solids,0.33,2024-12-22 20:17:35
6952,turbidity,2901.53,2024-12-22 20:17:36
6953,total dissolved solids,0.33,2024-12-22 20:17:37
6954,turbidity,2899.94,2024-12-22 20:17:38
6955,temperature,74.75,2024-12-22 20:17:38
6956,total dissolved solids,0.33,2024-12-22 20:17:40
6957,turbidity,2898.35,2024-12-22 20:17:40
6958,temperature,74.86,2024-12-22 20:17:41
6959,total dissolved solids,0.33,2024-12-22 20:17:42
6960,turbidity,2900.85,2024-12-22 20:17:42
6961,total dissolved solids,0.33,2024-12-22 20:17:44
6962,temperature,74.86,2024-12-22 20:17:44
6963,turbidity,2898.01,2024-12-22 20:17:44
6964,total dissolved solids,0.33,2024-12-22 20:17:46
6965,turbidity,2899.49,2024-12-22 20:17:47
6966,temperature,74.86,2024-12-22 20:17:47
6967,total dissolved solids,0.33,2024-12-22 20:17:48
6968,turbidity,2898.46,2024-12-22 20:17:49
6969,temperature,74.97,2024-12-22 20:17:50
6970,total dissolved solids,0.33,2024-12-22 20:17:50
6971,turbidity,2897.78,2024-12-22 20:17:51
6972,total dissolved solids,0.33,2024-12-22 20:17:52
6973,turbidity,2900.17,2024-12-22 20:17:53
6974,temperature,74.86,2024-12-22 20:17:53
6975,total dissolved solids,0.33,2024-12-22 20:17:54
6976,turbidity,2899.26,2024-12-22 20:17:55
6977,temperature,74.97,2024-12-22 20:17:56
6978,total dissolved solids,0.3,2024-12-22 20:17:57
6979,turbidity,2899.6,2024-12-22 20:17:57
6980,total dissolved solids,0.33,2024-12-22 20:17:59
6981,temperature,74.97,2024-12-22 20:17:59
6982,turbidity,2890.16,2024-12-22 20:18:00
6983,total dissolved solids,0.3,2024-12-22 20:18:01
6984,turbidity,2897.55,2024-12-22 20:18:02
6985,temperature,74.97,2024-12-22 20:18:02
6986,total dissolved solids,0.33,2024-12-22 20:18:03
6987,turbidity,2900.85,2024-12-22 20:18:04
6988,temperature,75.09,2024-12-22 20:18:05
6989,total dissolved solids,0.33,2024-12-22 20:18:05
6990,turbidity,2901.19,2024-12-22 20:18:06
6991,total dissolved solids,0.33,2024-12-22 20:18:07
6992,temperature,75.09,2024-12-22 20:18:08
6993,turbidity,2897.78,2024-12-22 20:18:08
6994,total dissolved solids,0.33,2024-12-22 20:18:09
6995,turbidity,2884.36,2024-12-22 20:18:10
6996,temperature,75.09,2024-12-22 20:18:11
6997,total dissolved solids,0.33,2024-12-22 20:18:11
6998,turbidity,2887.2,2024-12-22 20:18:12
6999,total dissolved solids,0.33,2024-12-22 20:18:13
7000,temperature,75.2,2024-12-22 20:18:14
7001,turbidity,2886.75,2024-12-22 20:18:14
7002,total dissolved solids,0.33,2024-12-22 20:18:16
7003,temperature,75.09,2024-12-22 20:18:16
7004,turbidity,2884.36,2024-12-22 20:18:17
7005,total dissolved solids,0.33,2024-12-22 20:18:18
7006,turbidity,2885.16,2024-12-22 20:18:19
7007,temperature,75.2,2024-12-22 20:18:19
7008,total dissolved solids,0.33,2024-12-22 20:18:20
7009,turbidity,2885.61,2024-12-22 20:18:21
7010,total dissolved solids,0.33,2024-12-22 20:18:22
7011,temperature,75.2,2024-12-22 20:18:22
7012,turbidity,2886.07,2024-12-22 20:18:23
7013,total dissolved solids,0.33,2024-12-22 20:18:24
7014,turbidity,2884.02,2024-12-22 20:18:25
7015,temperature,75.2,2024-12-22 20:18:25
7016,total dissolved solids,0.33,2024-12-22 20:18:26
7017,turbidity,2885.84,2024-12-22 20:18:27
7018,temperature,75.2,2024-12-22 20:18:28
7019,total dissolved solids,0.33,2024-12-22 20:18:28
7020,turbidity,2885.5,2024-12-22 20:18:29
7021,total dissolved solids,0.33,2024-12-22 20:18:30
7022,temperature,75.31,2024-12-22 20:18:31
7023,turbidity,2891.41,2024-12-22 20:18:31
7024,total dissolved solids,0.33,2024-12-22 20:18:32
7025,turbidity,2887.66,2024-12-22 20:18:33
7026,temperature,75.31,2024-12-22 20:18:34
7027,total dissolved solids,0.33,2024-12-22 20:18:35
7028,turbidity,2884.81,2024-12-22 20:18:36
7029,total dissolved solids,0.33,2024-12-22 20:18:37
7030,temperature,75.31,2024-12-22 20:18:37
7031,turbidity,2899.49,2024-12-22 20:18:38
7032,total dissolved solids,0.33,2024-12-22 20:18:39
7033,temperature,75.42,2024-12-22 20:18:40
7034,turbidity,2895.39,2024-12-22 20:18:40
7035,total dissolved solids,0.33,2024-12-22 20:18:41
7036,turbidity,2899.26,2024-12-22 20:18:42
7037,temperature,75.42,2024-12-22 20:18:43
7038,total dissolved solids,0.33,2024-12-22 20:18:43
7039,turbidity,2899.94,2024-12-22 20:18:44
7040,total dissolved solids,0.33,2024-12-22 20:18:45
7041,temperature,75.54,2024-12-22 20:18:46
7042,turbidity,2896.99,2024-12-22 20:18:46
7043,total dissolved solids,0.33,2024-12-22 20:18:47
7044,turbidity,2889.14,2024-12-22 20:18:48
7045,temperature,75.54,2024-12-22 20:18:48
7046,total dissolved solids,0.33,2024-12-22 20:18:49
7047,turbidity,2898.8,2024-12-22 20:18:50
7048,temperature,75.54,2024-12-22 20:18:51
7049,total dissolved solids,0.33,2024-12-22 20:18:52
7050,turbidity,2899.37,2024-12-22 20:18:52
7051,total dissolved solids,0.33,2024-12-22 20:18:54
7052,temperature,75.54,2024-12-22 20:18:54
7053,turbidity,2899.03,2024-12-22 20:18:55
7054,total dissolved solids,0.33,2024-12-22 20:18:56
7055,turbidity,2898.92,2024-12-22 20:18:57
7056,temperature,75.54,2024-12-22 20:18:57
7057,total dissolved solids,0.33,2024-12-22 20:18:58
7058,turbidity,2876.85,2024-12-22 20:18:59
7059,total dissolved solids,0.33,2024-12-22 20:19:00
7060,temperature,75.54,2024-12-22 20:19:00
7061,turbidity,2899.49,2024-12-22 20:19:01
7062,total dissolved solids,0.33,2024-12-22 20:19:02
7063,temperature,75.54,2024-12-22 20:19:03
7064,turbidity,2878.67,2024-12-22 20:19:03
7065,total dissolved solids,0.33,2024-12-22 20:19:04
7066,turbidity,2898.92,2024-12-22 20:19:05
7067,temperature,75.54,2024-12-22 20:19:06
7068,total dissolved solids,0.33,2024-12-22 20:19:06
7069,turbidity,2899.37,2024-12-22 20:19:07
7070,total dissolved solids,0.33,2024-12-22 20:19:08
7071,temperature,75.54,2024-12-22 20:19:09
7072,turbidity,2897.33,2024-12-22 20:19:09
7073,total dissolved solids,0.33,2024-12-22 20:19:11
7074,turbidity,2898.35,2024-12-22 20:19:11
7075,temperature,75.54,2024-12-22 20:19:12
7076,total dissolved solids,0.33,2024-12-22 20:19:13
7077,turbidity,2895.62,2024-12-22 20:19:14
7078,temperature,75.54,2024-12-22 20:19:15
7079,total dissolved solids,0.33,2024-12-22 20:19:15
7080,turbidity,2896.42,2024-12-22 20:19:16
7081,total dissolved solids,0.33,2024-12-22 20:19:17
7082,temperature,75.54,2024-12-22 20:19:18
7083,turbidity,2902.56,2024-12-22 20:19:18
7084,total dissolved solids,0.33,2024-12-22 20:19:19
7085,turbidity,2895.73,2024-12-22 20:19:20
7086,temperature,75.54,2024-12-22 20:19:21
7087,total dissolved solids,0.33,2024-12-22 20:19:21
7088,turbidity,2898.58,2024-12-22 20:19:22
7089,total dissolved solids,0.33,2024-12-22 20:19:23
7090,temperature,75.54,2024-12-22 20:19:23
7091,turbidity,2898.01,2024-12-22 20:19:24
7092,total dissolved solids,0.33,2024-12-22 20:19:25
7093,turbidity,2895.17,2024-12-22 20:19:26
7094,temperature,75.54,2024-12-22 20:19:26
7095,total dissolved solids,0.33,2024-12-22 20:19:27
7096,turbidity,2898.12,2024-12-22 20:19:28
7097,temperature,75.54,2024-12-22 20:19:29
7098,total dissolved solids,0.33,2024-12-22 20:19:30
7099,turbidity,2896.42,2024-12-22 20:19:30
7100,total dissolved solids,0.3,2024-12-22 20:19:32
7101,temperature,75.65,2024-12-22 20:19:32
7102,turbidity,2899.37,2024-12-22 20:19:33
7103,total dissolved solids,0.33,2024-12-22 20:19:34
7104,turbidity,2895.73,2024-12-22 20:19:35
7105,temperature,75.54,2024-12-22 20:19:35
7106,total dissolved solids,0.3,2024-12-22 20:19:36
7107,turbidity,2899.15,2024-12-22 20:19:37
7108,total dissolved solids,0.33,2024-12-22 20:19:38
7109,temperature,75.54,2024-12-22 20:19:38
7110,turbidity,2899.49,2024-12-22 20:19:39
7111,total dissolved solids,0.33,2024-12-22 20:19:40
7112,temperature,75.54,2024-12-22 20:19:41
7113,turbidity,2898.58,2024-12-22 20:19:41
7114,total dissolved solids,0.33,2024-12-22 20:19:42
7115,turbidity,2887.66,2024-12-22 20:19:43
7116,temperature,75.54,2024-12-22 20:19:44
7117,total dissolved solids,0.33,2024-12-22 20:19:44
7118,turbidity,2899.71,2024-12-22 20:19:45
7119,total dissolved solids,0.33,2024-12-22 20:19:46
7120,temperature,75.54,2024-12-22 20:19:47
7121,turbidity,2897.21,2024-12-22 20:19:47
7122,total dissolved solids,0.33,2024-12-22 20:19:49
7123,turbidity,2897.78,2024-12-22 20:19:50
7124,temperature,75.54,2024-12-22 20:19:50
7125,total dissolved solids,0.33,2024-12-22 20:19:51
7126,turbidity,2899.94,2024-12-22 20:19:52
7127,temperature,75.54,2024-12-22 20:19:53
7128,total dissolved solids,0.33,2024-12-22 20:19:53
7129,turbidity,2890.84,2024-12-22 20:19:54
7130,total dissolved solids,0.33,2024-12-22 20:19:55
7131,temperature,75.54,2024-12-22 20:19:56
7132,turbidity,2899.26,2024-12-22 20:19:56
7133,total dissolved solids,0.33,2024-12-22 20:19:57
7134,turbidity,2896.87,2024-12-22 20:19:58
7135,temperature,75.54,2024-12-22 20:19:58
7136,total dissolved solids,0.33,2024-12-22 20:19:59
7137,turbidity,2898.8,2024-12-22 20:20:00
7138,total dissolved solids,0.33,2024-12-22 20:20:01
7139,temperature,75.54,2024-12-22 20:20:01
7140,turbidity,2897.67,2024-12-22 20:20:02
7141,total dissolved solids,0.33,2024-12-22 20:20:03
7142,temperature,75.54,2024-12-22 20:20:04
7143,turbidity,2900.74,2024-12-22 20:20:04
7144,total dissolved solids,0.33,2024-12-22 20:20:06
7145,turbidity,2900.85,2024-12-22 20:20:06
7146,temperature,75.54,2024-12-22 20:20:07
7147,total dissolved solids,0.33,2024-12-22 20:20:08
7148,turbidity,2898.12,2024-12-22 20:20:09
7149,total dissolved solids,0.33,2024-12-22 20:20:10
7150,temperature,75.42,2024-12-22 20:20:10
7151,turbidity,2895.62,2024-12-22 20:20:11
7152,total dissolved solids,0.33,2024-12-22 20:20:12
7153,turbidity,2899.03,2024-12-22 20:20:13
7154,temperature,75.54,2024-12-22 20:20:13
7155,total dissolved solids,0.33,2024-12-22 20:20:14
7156,turbidity,2898.24,2024-12-22 20:20:15
7157,temperature,75.42,2024-12-22 20:20:16
7158,total dissolved solids,0.33,2024-12-22 20:20:16
7159,turbidity,2894.82,2024-12-22 20:20:17
7160,total dissolved solids,0.33,2024-12-22 20:20:18
7161,temperature,75.42,2024-12-22 20:20:19
7162,turbidity,2898.01,2024-12-22 20:20:19
7163,total dissolved solids,0.33,2024-12-22 20:20:20
7164,turbidity,2896.99,2024-12-22 20:20:21
7165,temperature,75.54,2024-12-22 20:20:22
7166,total dissolved solids,0.33,2024-12-22 20:20:22
7167,turbidity,2897.33,2024-12-22 20:20:24
7168,total dissolved solids,0.33,2024-12-22 20:20:25
7169,temperature,75.42,2024-12-22 20:20:25
7170,turbidity,2897.67,2024-12-22 20:20:26
7171,total dissolved solids,0.33,2024-12-22 20:20:27
7172,temperature,75.42,2024-12-22 20:20:28
7173,turbidity,2894.94,2024-12-22 20:20:28
7174,total dissolved solids,0.33,2024-12-22 20:20:29
7175,turbidity,2883.11,2024-12-22 20:20:30
7176,temperature,75.42,2024-12-22 20:20:31
7177,total dissolved solids,0.33,2024-12-22 20:20:31
7178,turbidity,2886.41,2024-12-22 20:20:32
7179,total dissolved solids,0.33,2024-12-22 20:20:33
7180,temperature,75.42,2024-12-22 20:20:34
7181,turbidity,2895.73,2024-12-22 20:20:34
7182,total dissolved solids,0.33,2024-12-22 20:20:35
7183,turbidity,2884.36,2024-12-22 20:20:36
7184,temperature,75.42,2024-12-22 20:20:36
7185,total dissolved solids,0.33,2024-12-22 20:20:37
7186,turbidity,2881.51,2024-12-22 20:20:38
7187,temperature,75.42,2024-12-22 20:20:39
7188,total dissolved solids,0.33,2024-12-22 20:20:39
7189,turbidity,2894.26,2024-12-22 20:20:40
7190,total dissolved solids,0.33,2024-12-22 20:20:42
7191,temperature,75.42,2024-12-22 20:20:42
7192,turbidity,2896.64,2024-12-22 20:20:43
7193,total dissolved solids,0.33,2024-12-22 20:20:44
7194,turbidity,2897.55,2024-12-22 20:20:45
7195,temperature,75.31,2024-12-22 20:20:45
7196,total dissolved solids,0.33,2024-12-22 20:20:46
7197,turbidity,2887.09,2024-12-22 20:20:47
7198,total dissolved solids,0.3,2024-12-22 20:20:48
7199,temperature,75.42,2024-12-22 20:20:48
7200,turbidity,2897.44,2024-12-22 20:20:49
7201,total dissolved solids,0.33,2024-12-22 20:20:50
7202,temperature,75.31,2024-12-22 20:20:51
7203,turbidity,2886.52,2024-12-22 20:20:51
7204,total dissolved solids,0.33,2024-12-22 20:20:52
7205,turbidity,2896.99,2024-12-22 20:20:53
7206,temperature,75.31,2024-12-22 20:20:54
7207,total dissolved solids,0.33,2024-12-22 20:20:54
7208,turbidity,2898.01,2024-12-22 20:20:55
7209,total dissolved solids,0.33,2024-12-22 20:20:56
7210,temperature,75.31,2024-12-22 20:20:57
7211,turbidity,2884.13,2024-12-22 20:20:57
7212,total dissolved solids,0.33,2024-12-22 20:20:58
7213,turbidity,2896.87,2024-12-22 20:21:00
7214,temperature,75.31,2024-12-22 20:21:00
7215,total dissolved solids,0.33,2024-12-22 20:21:01
7216,turbidity,2895.73,2024-12-22 20:21:02
7217,temperature,75.31,2024-12-22 20:21:03
7218,total dissolved solids,0.33,2024-12-22 20:21:03
7219,turbidity,2895.96,2024-12-22 20:21:04
7220,total dissolved solids,0.33,2024-12-22 20:21:05
7221,temperature,75.31,2024-12-22 20:21:06
7222,turbidity,2886.52,2024-12-22 20:21:06
7223,total dissolved solids,0.33,2024-12-22 20:21:07
7224,turbidity,2894.14,2024-12-22 20:21:08
7225,temperature,75.31,2024-12-22 20:21:08
7226,total dissolved solids,0.33,2024-12-22 20:21:09
7227,turbidity,2895.05,2024-12-22 20:21:10
7228,total dissolved solids,0.33,2024-12-22 20:21:11
7229,temperature,75.2,2024-12-22 20:21:11
7230,turbidity,2899.49,2024-12-22 20:21:12
7231,total dissolved solids,0.33,2024-12-22 20:21:13
7232,temperature,75.2,2024-12-22 20:21:14
7233,turbidity,2887.2,2024-12-22 20:21:14
7234,total dissolved solids,0.33,2024-12-22 20:21:15
7235,turbidity,2896.87,2024-12-22 20:21:16
7236,temperature,75.2,2024-12-22 20:21:17
7237,total dissolved solids,0.33,2024-12-22 20:21:17
7238,turbidity,2882.99,2024-12-22 20:21:19
7239,total dissolved solids,0.3,2024-12-22 20:21:20
7240,temperature,75.2,2024-12-22 20:21:20
7241,turbidity,2882.65,2024-12-22 20:21:21
7242,total dissolved solids,0.33,2024-12-22 20:21:22
7243,turbidity,2882.77,2024-12-22 20:21:23
7244,temperature,75.2,2024-12-22 20:21:23
7245,total dissolved solids,0.33,2024-12-22 20:21:24
7246,turbidity,2894.37,2024-12-22 20:21:25
7247,total dissolved solids,0.33,2024-12-22 20:21:26
7248,temperature,75.09,2024-12-22 20:21:26
7249,turbidity,2896.42,2024-12-22 20:21:27
7250,total dissolved solids,0.35,2024-12-22 20:21:28
7251,temperature,75.09,2024-12-22 20:21:29
7252,turbidity,2895.39,2024-12-22 20:21:29
7253,total dissolved solids,0.33,2024-12-22 20:21:30
7254,turbidity,2887.77,2024-12-22 20:21:31
7255,temperature,75.09,2024-12-22 20:21:32
7256,total dissolved solids,0.33,2024-12-22 20:21:32
7257,turbidity,2893.91,2024-12-22 20:21:33
7258,total dissolved solids,0.33,2024-12-22 20:21:34
7259,temperature,75.09,2024-12-22 20:21:35
7260,turbidity,2883.68,2024-12-22 20:21:35
7261,total dissolved solids,0.33,2024-12-22 20:21:36
7262,turbidity,2882.88,2024-12-22 20:21:38
7263,temperature,74.97,2024-12-22 20:21:38
7264,total dissolved solids,0.33,2024-12-22 20:21:39
7265,turbidity,2884.47,2024-12-22 20:21:40
7266,temperature,75.09,2024-12-22 20:21:41
7267,total dissolved solids,0.33,2024-12-22 20:21:41
7268,turbidity,2880.95,2024-12-22 20:21:42
7269,total dissolved solids,0.33,2024-12-22 20:21:43
7270,temperature,74.97,2024-12-22 20:21:43
7271,turbidity,2893.23,2024-12-22 20:21:44
7272,total dissolved solids,0.33,2024-12-22 20:21:45
7273,turbidity,2890.96,2024-12-22 20:21:46
7274,temperature,74.97,2024-12-22 20:21:46
7275,total dissolved solids,0.33,2024-12-22 20:21:47
7276,turbidity,2887.54,2024-12-22 20:21:48
7277,total dissolved solids,0.33,2024-12-22 20:21:49
7278,temperature,74.97,2024-12-22 20:21:49
7279,turbidity,2897.44,2024-12-22 20:21:50
7280,total dissolved solids,0.33,2024-12-22 20:21:51
7281,temperature,74.86,2024-12-22 20:21:52
7282,turbidity,2890.73,2024-12-22 20:21:52
7283,total dissolved solids,0.33,2024-12-22 20:21:53
7284,turbidity,2896.08,2024-12-22 20:21:54
7285,temperature,74.97,2024-12-22 20:21:55
7286,total dissolved solids,0.33,2024-12-22 20:21:55
7287,turbidity,2894.6,2024-12-22 20:21:57
7288,total dissolved solids,0.33,2024-12-22 20:21:58
7289,temperature,74.86,2024-12-22 20:21:58
7290,turbidity,2896.87,2024-12-22 20:21:59
7291,total dissolved solids,0.33,2024-12-22 20:22:00
7292,turbidity,2892.21,2024-12-22 20:22:01
7293,temperature,74.86,2024-12-22 20:22:01
7294,total dissolved solids,0.35,2024-12-22 20:22:02
7295,turbidity,2895.85,2024-12-22 20:22:03
7296,temperature,74.86,2024-12-22 20:22:04
7297,total dissolved solids,0.33,2024-12-22 20:22:04
7298,turbidity,2895.05,2024-12-22 20:22:05
7299,total dissolved solids,0.33,2024-12-22 20:22:06
7300,temperature,74.75,2024-12-22 20:22:07
7301,turbidity,2885.61,2024-12-22 20:22:07
7302,total dissolved solids,0.3,2024-12-22 20:22:08
7303,turbidity,2882.2,2024-12-22 20:22:09
7304,temperature,74.75,2024-12-22 20:22:10
7305,total dissolved solids,0.33,2024-12-22 20:22:10
7306,turbidity,2894.82,2024-12-22 20:22:11
7307,total dissolved solids,0.33,2024-12-22 20:22:12
7308,temperature,74.75,2024-12-22 20:22:13
7309,turbidity,2896.87,2024-12-22 20:22:13
7310,total dissolved solids,0.3,2024-12-22 20:22:15
7311,temperature,74.75,2024-12-22 20:22:15
7312,turbidity,2886.75,2024-12-22 20:22:16
7313,total dissolved solids,0.33,2024-12-22 20:22:17
7314,turbidity,2890.05,2024-12-22 20:22:18
7315,temperature,74.75,2024-12-22 20:22:18
7316,total dissolved solids,0.33,2024-12-22 20:22:19
7317,turbidity,2896.53,2024-12-22 20:22:20
7318,total dissolved solids,0.33,2024-12-22 20:22:21
7319,temperature,74.64,2024-12-22 20:22:21
7320,turbidity,2891.3,2024-12-22 20:22:22
7321,total dissolved solids,0.33,2024-12-22 20:22:23
7322,turbidity,2895.05,2024-12-22 20:22:24
7323,temperature,74.64,2024-12-22 20:22:24
7324,total dissolved solids,0.33,2024-12-22 20:22:25
7325,turbidity,2884.36,2024-12-22 20:22:26
7326,temperature,74.64,2024-12-22 20:22:27
7327,total dissolved solids,0.33,2024-12-22 20:22:27
7328,turbidity,2893.57,2024-12-22 20:22:28
7329,total dissolved solids,0.33,2024-12-22 20:22:29
7330,temperature,74.64,2024-12-22 20:22:30
7331,turbidity,2894.03,2024-12-22 20:22:30
7332,total dissolved solids,0.33,2024-12-22 20:22:31
7333,turbidity,2879.7,2024-12-22 20:22:32
7334,temperature,74.64,2024-12-22 20:22:33
7335,total dissolved solids,0.33,2024-12-22 20:22:34
7336,turbidity,2895.28,2024-12-22 20:22:35
7337,total dissolved solids,0.3,2024-12-22 20:22:36
7338,temperature,74.53,2024-12-22 20:22:36
7339,turbidity,2893.23,2024-12-22 20:22:37
7340,total dissolved solids,0.33,2024-12-22 20:22:38
7341,temperature,74.64,2024-12-22 20:22:39
7342,turbidity,2897.78,2024-12-22 20:22:39
7343,total dissolved solids,0.33,2024-12-22 20:22:40
7344,turbidity,2880.04,2024-12-22 20:22:41
7345,temperature,74.53,2024-12-22 20:22:42
7346,total dissolved solids,0.33,2024-12-22 20:22:42
7347,turbidity,2896.53,2024-12-22 20:22:43
7348,total dissolved solids,0.33,2024-12-22 20:22:44
7349,temperature,74.53,2024-12-22 20:22:45
7350,turbidity,2892.89,2024-12-22 20:22:45
7351,total dissolved solids,0.33,2024-12-22 20:22:46
7352,turbidity,2893.12,2024-12-22 20:22:47
7353,temperature,74.41,2024-12-22 20:22:47
7354,total dissolved solids,0.33,2024-12-22 20:22:49
7355,turbidity,2896.3,2024-12-22 20:22:49
7356,temperature,74.41,2024-12-22 20:22:50
7357,total dissolved solids,0.33,2024-12-22 20:22:51
7358,turbidity,2884.24,2024-12-22 20:22:51
7359,total dissolved solids,0.33,2024-12-22 20:22:53
7360,temperature,74.41,2024-12-22 20:22:53
7361,turbidity,2892.89,2024-12-22 20:22:54
7362,total dissolved solids,0.33,2024-12-22 20:22:55
7363,turbidity,2893.46,2024-12-22 20:22:56
7364,temperature,74.41,2024-12-22 20:22:56
7365,total dissolved solids,0.33,2024-12-22 20:22:57
7366,turbidity,2894.82,2024-12-22 20:22:58
7367,temperature,74.41,2024-12-22 20:22:59
7368,total dissolved solids,0.33,2024-12-22 20:22:59
7369,turbidity,2893.57,2024-12-22 20:23:00
7370,total dissolved solids,0.33,2024-12-22 20:23:02
7371,turbidity,2896.19,2024-12-22 20:23:02
7372,temperature,74.3,2024-12-22 20:23:02
7373,total dissolved solids,0.33,2024-12-22 20:23:04
7374,turbidity,2895.51,2024-12-22 20:23:04
7375,temperature,74.3,2024-12-22 20:23:05
7376,total dissolved solids,0.33,2024-12-22 20:23:06
7377,turbidity,2893.8,2024-12-22 20:23:06
7378,temperature,74.3,2024-12-22 20:23:08
